epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,51.7021,0.43712,0.28272,0.89182,0.95897,0.91127,0.9545,0.82888,0.9644,0.57431,1.15703,0.000551698,0.000551698,0.000551698
2,99.6655,0.4475,0.28918,0.88687,0.95033,0.9077,0.94904,0.82099,1.00758,0.61655,1.1751,0.00109823,0.00109823,0.00109823
3,148.926,0.49129,0.31309,0.90505,0.94645,0.91431,0.95139,0.8137,1.06292,0.62147,1.21339,0.00163559,0.00163559,0.00163559
4,199.954,0.49626,0.31819,0.90702,0.93955,0.90551,0.94976,0.81571,1.01331,0.61996,1.17592,0.00162574,0.00162574,0.00162574
5,249.856,0.50227,0.32549,0.90723,0.95442,0.91782,0.95385,0.82164,1.00978,0.59284,1.15872,0.00161199,0.00161199,0.00161199
6,298.44,0.4878,0.31808,0.90353,0.94455,0.90738,0.95139,0.81418,1.01541,0.63789,1.15944,0.00159824,0.00159824,0.00159824
7,346.939,0.49034,0.31958,0.90472,0.95161,0.91311,0.95018,0.82339,1.00154,0.64892,1.18212,0.00158448,0.00158448,0.00158448
8,396.036,0.49726,0.32211,0.90521,0.95869,0.90707,0.95303,0.81892,1.02904,0.59458,1.19419,0.00157073,0.00157073,0.00157073
9,444.816,0.49329,0.31849,0.90837,0.93742,0.92344,0.95279,0.82248,0.98461,0.60271,1.17006,0.00155698,0.00155698,0.00155698
10,493.124,0.49171,0.31745,0.90511,0.95847,0.91099,0.95221,0.82456,1.00444,0.63284,1.18193,0.00154323,0.00154323,0.00154323
11,542.312,0.50556,0.32986,0.91013,0.95737,0.9075,0.95017,0.81869,1.0306,0.62107,1.18759,0.00152947,0.00152947,0.00152947
12,591.364,0.49572,0.31731,0.90395,0.94002,0.92073,0.95257,0.82095,0.99813,0.6462,1.15118,0.00151572,0.00151572,0.00151572
13,639.949,0.49382,0.31982,0.90279,0.94979,0.92011,0.95239,0.81695,1.02435,0.59322,1.18427,0.00150197,0.00150197,0.00150197
14,687.788,0.50481,0.32595,0.91058,0.94,0.8991,0.94759,0.8145,1.02575,0.62821,1.17447,0.00148821,0.00148821,0.00148821
15,735.441,0.49277,0.32006,0.90435,0.946,0.91521,0.95333,0.8229,1.00587,0.61181,1.16339,0.00147446,0.00147446,0.00147446
16,784.356,0.49788,0.32091,0.9084,0.94874,0.92299,0.95281,0.81924,1.03458,0.60444,1.19125,0.00146071,0.00146071,0.00146071
17,834.555,0.48866,0.31316,0.90123,0.94773,0.91834,0.9486,0.82068,1.00539,0.59815,1.17496,0.00144696,0.00144696,0.00144696
18,882.761,0.4818,0.31598,0.9017,0.94009,0.92741,0.95647,0.82199,1.02638,0.58498,1.18314,0.0014332,0.0014332,0.0014332
19,930.375,0.49349,0.32258,0.90758,0.95265,0.91025,0.95097,0.82369,0.98783,0.63529,1.16645,0.00141945,0.00141945,0.00141945
20,978.356,0.48558,0.31347,0.90242,0.94113,0.91585,0.95125,0.8243,0.97776,0.60676,1.15536,0.0014057,0.0014057,0.0014057
21,1028.26,0.47988,0.31604,0.90252,0.93465,0.9153,0.94954,0.82362,0.99744,0.62497,1.17424,0.00139195,0.00139195,0.00139195
22,1076.53,0.49077,0.3191,0.90657,0.94128,0.91417,0.95175,0.82311,1.0051,0.6261,1.18347,0.00137819,0.00137819,0.00137819
23,1124.16,0.48163,0.31351,0.90358,0.95877,0.90836,0.95125,0.82483,0.99202,0.6139,1.15658,0.00136444,0.00136444,0.00136444
24,1172.38,0.46392,0.30165,0.89635,0.95386,0.90985,0.95134,0.82509,0.99301,0.61648,1.16629,0.00135069,0.00135069,0.00135069
25,1220.1,0.47112,0.30492,0.89756,0.94816,0.9173,0.95126,0.82431,0.98829,0.6153,1.16814,0.00133693,0.00133693,0.00133693
26,1269.39,0.47876,0.31229,0.90376,0.95215,0.92078,0.95233,0.82458,0.99863,0.58498,1.17416,0.00132318,0.00132318,0.00132318
27,1317.54,0.47581,0.30807,0.90175,0.94658,0.92048,0.95143,0.82285,1.00023,0.59669,1.18109,0.00130943,0.00130943,0.00130943
28,1366.09,0.48785,0.31328,0.90313,0.94806,0.91613,0.95014,0.82193,1.00906,0.64448,1.18095,0.00129568,0.00129568,0.00129568
29,1414.94,0.46219,0.30371,0.89448,0.94947,0.91683,0.95069,0.82515,0.9845,0.59133,1.1634,0.00128192,0.00128192,0.00128192
30,1465.38,0.46384,0.30395,0.8968,0.94632,0.92823,0.95421,0.82708,0.97466,0.58457,1.16146,0.00126817,0.00126817,0.00126817
31,1514.53,0.46225,0.29749,0.89615,0.9505,0.91832,0.95309,0.83016,0.96482,0.58504,1.14236,0.00125442,0.00125442,0.00125442
32,1563.67,0.46721,0.30396,0.89606,0.94347,0.91098,0.9516,0.82758,0.97273,0.61843,1.15536,0.00124066,0.00124066,0.00124066
33,1612.35,0.46219,0.29885,0.89456,0.95656,0.89882,0.95008,0.82429,1.015,0.61329,1.1789,0.00122691,0.00122691,0.00122691
34,1662.39,0.4609,0.29996,0.89367,0.94225,0.91885,0.95108,0.82551,0.99749,0.61545,1.16321,0.00121316,0.00121316,0.00121316
35,1711.41,0.46444,0.30129,0.8936,0.95571,0.92029,0.95362,0.8251,1.01679,0.59823,1.17244,0.00119941,0.00119941,0.00119941
36,1760.05,0.46017,0.29563,0.89464,0.9529,0.9162,0.95442,0.8282,0.97902,0.5768,1.15361,0.00118565,0.00118565,0.00118565
37,1808.74,0.47739,0.30855,0.90138,0.94916,0.91795,0.95086,0.82767,0.97823,0.59417,1.1573,0.0011719,0.0011719,0.0011719
38,1858.01,0.46589,0.30142,0.89636,0.95416,0.92676,0.95517,0.82875,0.97363,0.55058,1.17093,0.00115815,0.00115815,0.00115815
39,1906.43,0.46878,0.30299,0.89761,0.95318,0.91899,0.95103,0.82469,0.99426,0.59993,1.17615,0.0011444,0.0011444,0.0011444
40,1955.31,0.45539,0.29607,0.89376,0.95132,0.91633,0.95295,0.82496,0.98432,0.59514,1.16063,0.00113064,0.00113064,0.00113064
41,2005.28,0.4599,0.30231,0.8958,0.95087,0.91254,0.95076,0.82532,0.98173,0.60462,1.16252,0.00111689,0.00111689,0.00111689
42,2057.24,0.46052,0.29563,0.89406,0.9563,0.91433,0.95341,0.82815,0.97134,0.58876,1.14902,0.00110314,0.00110314,0.00110314
43,2106.32,0.45232,0.29006,0.89177,0.95711,0.9217,0.95363,0.83084,0.96446,0.5715,1.15102,0.00108938,0.00108938,0.00108938
44,2155.39,0.4665,0.29826,0.89746,0.95041,0.92377,0.95355,0.83079,0.96601,0.57306,1.15499,0.00107563,0.00107563,0.00107563
45,2205.46,0.46318,0.29481,0.89686,0.95754,0.91653,0.95304,0.82913,0.95622,0.5962,1.14096,0.00106188,0.00106188,0.00106188
46,2254.66,0.4582,0.2954,0.8916,0.95328,0.92816,0.95278,0.82939,0.96089,0.56693,1.16469,0.00104813,0.00104813,0.00104813
47,2303.09,0.4592,0.29493,0.89277,0.94934,0.91953,0.95459,0.8281,0.96793,0.56982,1.15378,0.00103437,0.00103437,0.00103437
48,2352.04,0.45015,0.28787,0.8907,0.94478,0.92886,0.95259,0.83176,0.94272,0.56788,1.14583,0.00102062,0.00102062,0.00102062
49,2402.83,0.44999,0.28954,0.88961,0.95134,0.91866,0.95328,0.82906,0.95963,0.57706,1.1505,0.00100687,0.00100687,0.00100687
50,2451.84,0.44853,0.28958,0.89181,0.95577,0.90995,0.95189,0.82788,0.98117,0.60864,1.16966,0.000993115,0.000993115,0.000993115
51,2500.68,0.454,0.29159,0.89302,0.94858,0.92408,0.95416,0.82988,0.95885,0.55501,1.14618,0.000979362,0.000979362,0.000979362
52,2549.81,0.45009,0.28896,0.89019,0.9583,0.92001,0.95552,0.8291,0.97425,0.56911,1.16426,0.00096561,0.00096561,0.00096561
53,2600.06,0.4383,0.2839,0.88614,0.9501,0.9302,0.95356,0.83113,0.95945,0.55486,1.15288,0.000951857,0.000951857,0.000951857
