epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,206.002,1.42818,1.20584,1.07966,0.94614,0.96348,0.96667,0.68747,1.01574,63.1175,0.93543,0.000554645,0.000554645,0.000554645
2,389.999,0.97607,0.61121,0.91647,0.95941,0.97271,0.98149,0.78955,0.75543,48.9649,0.86261,0.00109314,0.00109314,0.00109314
3,575.31,0.85761,0.52462,0.88543,0.85121,0.97796,0.98822,0.81657,0.66892,36.5709,0.83626,0.00161444,0.00161444,0.00161444
4,765.68,0.7846,0.48524,0.86915,0.97554,0.97998,0.99199,0.84325,0.59536,13.6732,0.81874,0.00158964,0.00158964,0.00158964
5,953.384,0.73769,0.44825,0.85909,0.98012,0.97387,0.99042,0.86095,0.5453,12.6326,0.80846,0.00156385,0.00156385,0.00156385
6,1149.26,0.68539,0.4247,0.84753,0.98346,0.98343,0.99319,0.86912,0.53283,9.76641,0.80847,0.00153807,0.00153807,0.00153807
