Timestamp (HH:MM:SS),Wolne_miejsca,Zajete_miejsca
0:00:00,34,17
0:00:00,34,17
0:00:00,36,15
0:00:00,36,15
0:00:00,45,6
0:00:00,45,6
0:00:00,40,11
0:00:00,41,10
0:00:00,45,6
0:00:00,42,9
0:00:00,43,8
0:00:00,42,9
0:00:00,40,11
0:00:00,40,11
0:00:00,40,11
0:00:00,40,11
0:00:00,43,8
0:00:00,43,8
0:00:00,39,12
0:00:00,42,9
0:00:00,43,8
0:00:00,43,8
0:00:00,42,9
0:00:00,42,9
0:00:00,41,10
0:00:00,42,9
0:00:00,42,9
0:00:00,44,7
0:00:00,40,11
0:00:01,40,11
0:00:01,40,11
0:00:01,41,10
0:00:01,40,11
0:00:01,40,11
0:00:01,42,9
0:00:01,42,9
0:00:01,45,6
0:00:01,45,6
0:00:01,45,6
0:00:01,45,6
0:00:01,44,7
0:00:01,43,8
0:00:01,44,7
0:00:01,44,7
0:00:01,44,7
0:00:01,44,7
0:00:01,43,8
0:00:01,43,8
0:00:01,45,6
0:00:01,45,6
0:00:01,44,7
0:00:01,45,6
0:00:01,46,5
0:00:01,44,7
0:00:01,45,6
0:00:01,42,9
0:00:01,44,7
0:00:01,44,7
0:00:01,44,7
0:00:02,44,7
0:00:02,44,7
0:00:02,44,7
0:00:02,44,7
0:00:02,44,7
0:00:02,45,6
0:00:02,45,6
0:00:02,43,8
0:00:02,43,8
0:00:02,44,7
0:00:02,44,7
0:00:02,44,7
0:00:02,44,7
0:00:02,44,7
0:00:02,44,7
0:00:02,44,7
0:00:02,44,7
0:00:02,44,7
0:00:02,44,7
0:00:02,44,7
0:00:02,44,7
0:00:02,44,7
0:00:02,44,7
0:00:02,44,7
0:00:02,44,7
0:00:02,44,7
0:00:02,44,7
0:00:02,43,8
0:00:02,44,7
0:00:02,44,7
0:00:03,44,7
0:00:03,45,6
0:00:03,45,6
0:00:03,45,6
0:00:03,45,6
0:00:03,44,7
0:00:03,43,8
0:00:03,41,10
0:00:03,41,10
0:00:03,41,10
0:00:03,40,11
0:00:03,41,10
0:00:03,41,10
0:00:03,42,9
0:00:03,42,9
0:00:03,40,11
0:00:03,41,10
0:00:03,42,9
0:00:03,42,9
0:00:03,42,9
0:00:03,44,7
0:00:03,46,5
0:00:03,46,5
0:00:03,46,5
0:00:03,46,5
0:00:03,46,5
0:00:03,46,5
0:00:03,45,6
0:00:03,45,6
0:00:03,45,6
0:00:04,45,6
0:00:04,45,6
0:00:04,45,6
0:00:04,44,7
0:00:04,44,7
0:00:04,45,6
0:00:04,45,6
0:00:04,45,6
0:00:04,44,7
0:00:04,40,11
0:00:04,40,11
0:00:04,42,9
0:00:04,42,9
0:00:04,44,7
0:00:04,43,8
0:00:04,42,9
0:00:04,42,9
0:00:04,43,8
0:00:04,43,8
0:00:04,42,9
0:00:04,42,9
0:00:04,46,5
0:00:04,46,5
0:00:04,45,6
0:00:04,45,6
0:00:04,44,7
0:00:04,44,7
0:00:04,41,10
0:00:04,41,10
0:00:04,43,8
0:00:05,44,7
0:00:05,43,8
0:00:05,44,7
0:00:05,45,6
0:00:05,45,6
0:00:05,45,6
0:00:05,45,6
0:00:05,45,6
0:00:05,45,6
0:00:05,45,6
0:00:05,45,6
0:00:05,37,14
0:00:05,37,14
0:00:05,38,13
0:00:05,38,13
0:00:05,41,10
0:00:05,41,10
0:00:05,40,11
0:00:05,40,11
0:00:05,36,15
0:00:05,36,15
0:00:05,38,13
0:00:05,39,12
0:00:05,39,12
0:00:05,39,12
0:00:05,38,13
0:00:05,39,12
0:00:05,38,13
0:00:05,38,13
