epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,3594.9,0.38715,0.24443,0.78992,0.9968,0.99695,0.99458,0.9658,0.28213,0.19623,0.7829,0.0005941,0.0005941,0.0005941
43,3677.6,0.38793,0.2449,0.79009,0.99739,0.99785,0.99461,0.96457,0.27962,0.19472,0.78208,0.0005842,0.0005842,0.0005842
44,3760.42,0.38222,0.24374,0.78945,0.99796,0.99792,0.99462,0.9648,0.28416,0.19528,0.78295,0.0005743,0.0005743,0.0005743
45,3843.24,0.38373,0.24268,0.78967,0.99661,0.99643,0.99457,0.96752,0.27763,0.1933,0.78239,0.0005644,0.0005644,0.0005644
46,3925.66,0.38106,0.24278,0.78886,0.99828,0.99842,0.99463,0.9691,0.27236,0.18922,0.78165,0.0005545,0.0005545,0.0005545
47,4008.37,0.38025,0.24238,0.78929,0.99845,0.99841,0.99459,0.96875,0.26878,0.18786,0.78141,0.0005446,0.0005446,0.0005446
48,4090.79,0.37513,0.23879,0.78899,0.99782,0.99754,0.9945,0.96929,0.26925,0.18821,0.78119,0.0005347,0.0005347,0.0005347
49,4173.26,0.37536,0.23643,0.78891,0.99749,0.9974,0.99458,0.97018,0.26651,0.18708,0.78139,0.0005248,0.0005248,0.0005248
50,4255.94,0.36767,0.23428,0.78834,0.9984,0.99827,0.99467,0.97004,0.26955,0.18663,0.7817,0.0005149,0.0005149,0.0005149
51,4338.38,0.36715,0.23526,0.78813,0.99831,0.99824,0.99462,0.97128,0.26149,0.18515,0.78073,0.000505,0.000505,0.000505
52,4420.38,0.36634,0.23493,0.78791,0.99743,0.99706,0.9946,0.97362,0.257,0.18465,0.78036,0.0004951,0.0004951,0.0004951
53,4499.69,0.36363,0.23141,0.78754,0.99818,0.99812,0.99462,0.9725,0.26123,0.18418,0.7807,0.0004852,0.0004852,0.0004852
54,4578.74,0.36119,0.23167,0.78772,0.99738,0.99722,0.9946,0.97282,0.25777,0.18374,0.78052,0.0004753,0.0004753,0.0004753
