epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,4221.98,1.26888,0.82231,1.13215,0.96216,0.97526,0.98414,0.80741,0.67594,38.9524,0.88729,0.0099908,0.00333027,0.0099908,0.00333027,0.0099908,0.00333027,0.0099908,0.00333027
2,8232.7,0.80271,0.44219,0.90934,0.96688,0.97538,0.98779,0.8657,0.54032,69.8954,0.83855,0.0199116,0.00663721,0.0199116,0.00663721,0.0199116,0.00663721,0.0199116,0.00663721
3,12639.7,0.75511,0.42902,0.8911,0.9902,0.98909,0.99387,0.88984,0.46316,6.16947,0.8168,0.0297533,0.00991776,0.0297533,0.00991776,0.0297533,0.00991776,0.0297533,0.00991776
4,17361.9,0.6788,0.38278,0.86955,0.98836,0.9878,0.9935,0.90996,0.41855,3.18292,0.80111,0.0296436,0.0098812,0.0296436,0.0098812,0.0296436,0.0098812,0.0296436,0.0098812
5,21275,0.57966,0.34108,0.84389,0.99215,0.99283,0.99376,0.9448,0.32236,1.45638,0.77289,0.0295248,0.0098416,0.0295248,0.0098416,0.0295248,0.0098416,0.0295248,0.0098416
6,24514.9,0.51859,0.30923,0.82746,0.99213,0.99193,0.99401,0.95313,0.29028,2.07375,0.76648,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
7,28285.2,0.47651,0.29353,0.81884,0.99737,0.99761,0.99439,0.97275,0.24748,0.28295,0.76014,0.0292872,0.0097624,0.0292872,0.0097624,0.0292872,0.0097624,0.0292872,0.0097624
8,31592.1,0.43433,0.2645,0.81139,0.99797,0.99832,0.99447,0.97131,0.24439,0.23939,0.75562,0.0291684,0.0097228,0.0291684,0.0097228,0.0291684,0.0097228,0.0291684,0.0097228
