epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,52.5574,0.50806,0.3349,0.91644,0.94408,0.9144,0.94924,0.81442,1.05377,0.6193,1.20445,0.000551698,0.000551698,0.000551698
2,104.648,0.55471,0.35978,0.93432,0.94054,0.89661,0.94563,0.80677,1.06557,0.70824,1.21779,0.0010964,0.0010964,0.0010964
3,154.428,0.5801,0.379,0.94292,0.93758,0.89761,0.94624,0.80886,1.08694,0.68744,1.22009,0.0016301,0.0016301,0.0016301
4,205.103,0.59612,0.39234,0.94893,0.93877,0.89344,0.94498,0.80701,1.07615,0.68295,1.20933,0.00161749,0.00161749,0.00161749
5,258.128,0.58519,0.38371,0.94646,0.93114,0.89571,0.94094,0.7987,1.10019,0.70784,1.23736,0.00160099,0.00160099,0.00160099
6,307.721,0.59277,0.38385,0.94753,0.93563,0.91062,0.94907,0.79006,1.10917,0.67039,1.21268,0.00158448,0.00158448,0.00158448
7,356.956,0.57488,0.37655,0.93904,0.93541,0.89235,0.94417,0.80415,1.07558,0.70963,1.20396,0.00156798,0.00156798,0.00156798
8,407.672,0.56544,0.3732,0.93521,0.93949,0.90999,0.95128,0.81372,1.06246,0.66189,1.20712,0.00155148,0.00155148,0.00155148
9,457.61,0.5699,0.37439,0.93673,0.94531,0.88873,0.9408,0.80435,1.09411,0.70241,1.23422,0.00153497,0.00153497,0.00153497
10,507.217,0.56054,0.37165,0.93165,0.93939,0.91481,0.94572,0.80776,1.08785,0.66319,1.22892,0.00151847,0.00151847,0.00151847
11,559.02,0.59359,0.38886,0.95182,0.94679,0.89612,0.94969,0.80192,1.09616,0.69664,1.21577,0.00150197,0.00150197,0.00150197
12,608.492,0.57775,0.37603,0.94285,0.93205,0.90393,0.94302,0.80711,1.07559,0.66158,1.21327,0.00148546,0.00148546,0.00148546
13,658.376,0.56012,0.36589,0.93339,0.9366,0.90477,0.94688,0.80315,1.1108,0.68261,1.2295,0.00146896,0.00146896,0.00146896
14,709.777,0.57596,0.3759,0.942,0.93994,0.90396,0.9487,0.808,1.07823,0.68878,1.21699,0.00145246,0.00145246,0.00145246
15,759.337,0.56496,0.36923,0.93495,0.94506,0.90156,0.94893,0.81361,1.0656,0.66448,1.21691,0.00143595,0.00143595,0.00143595
16,809.831,0.55689,0.3618,0.93031,0.94174,0.91709,0.95166,0.81259,1.05726,0.64066,1.20641,0.00141945,0.00141945,0.00141945
17,860.69,0.55248,0.35859,0.92957,0.94274,0.91141,0.94595,0.80892,1.10053,0.67613,1.23056,0.00140295,0.00140295,0.00140295
18,910.359,0.56407,0.36573,0.93664,0.93255,0.91789,0.94731,0.81366,1.05249,0.62443,1.20058,0.00138644,0.00138644,0.00138644
19,960.252,0.54664,0.36053,0.93295,0.94252,0.90827,0.94956,0.81521,1.05208,0.66201,1.20099,0.00136994,0.00136994,0.00136994
20,1012.09,0.55015,0.35914,0.93248,0.93703,0.90364,0.94649,0.80901,1.07263,0.68315,1.21025,0.00135344,0.00135344,0.00135344
21,1062.51,0.52587,0.34535,0.92174,0.95117,0.90769,0.95429,0.81608,1.04428,0.62364,1.19384,0.00133693,0.00133693,0.00133693
22,1113.74,0.55208,0.35845,0.93164,0.93404,0.91405,0.94802,0.80958,1.07225,0.65068,1.21693,0.00132043,0.00132043,0.00132043
23,1166.22,0.5399,0.35138,0.9251,0.94181,0.90908,0.94798,0.8119,1.06554,0.66133,1.21331,0.00130393,0.00130393,0.00130393
24,1216.54,0.5317,0.34936,0.9256,0.94424,0.91836,0.94968,0.81636,1.05471,0.6338,1.2167,0.00128742,0.00128742,0.00128742
25,1268,0.53365,0.35113,0.92453,0.95131,0.90728,0.9507,0.81211,1.05033,0.64826,1.20063,0.00127092,0.00127092,0.00127092
26,1319.29,0.53817,0.35626,0.92942,0.94736,0.8987,0.94862,0.8154,1.03708,0.65523,1.20042,0.00125442,0.00125442,0.00125442
27,1368.99,0.54642,0.35304,0.92953,0.95019,0.90489,0.94941,0.81783,1.04012,0.64089,1.19819,0.00123791,0.00123791,0.00123791
28,1418.69,0.52301,0.34125,0.92161,0.9399,0.91356,0.94795,0.8165,1.03254,0.67069,1.19068,0.00122141,0.00122141,0.00122141
29,1470.17,0.5406,0.34932,0.92788,0.9389,0.91724,0.9533,0.81831,1.02423,0.61507,1.18759,0.00120491,0.00120491,0.00120491
30,1521.11,0.54377,0.35215,0.931,0.93562,0.91364,0.95008,0.81691,1.04853,0.643,1.20274,0.0011884,0.0011884,0.0011884
31,1570.68,0.52328,0.33822,0.92138,0.95042,0.91154,0.94979,0.81942,1.02978,0.61519,1.2077,0.0011719,0.0011719,0.0011719
32,1622.82,0.51425,0.33559,0.91905,0.9424,0.91081,0.94833,0.82004,1.01532,0.64259,1.18226,0.0011554,0.0011554,0.0011554
33,1673.55,0.51085,0.33347,0.91484,0.95392,0.91301,0.95327,0.82024,1.03036,0.5979,1.18985,0.00113889,0.00113889,0.00113889
34,1724.86,0.50261,0.32879,0.91387,0.95405,0.904,0.94981,0.81581,1.04029,0.62693,1.19022,0.00112239,0.00112239,0.00112239
35,1775.8,0.50658,0.33347,0.91587,0.95467,0.91039,0.95151,0.8165,1.02371,0.63098,1.18245,0.00110589,0.00110589,0.00110589
36,1825.41,0.5346,0.34351,0.92861,0.94932,0.90448,0.94727,0.81719,1.0262,0.62251,1.19013,0.00108938,0.00108938,0.00108938
37,1875.7,0.5171,0.33472,0.91972,0.95181,0.90893,0.95132,0.81941,1.0379,0.63943,1.19338,0.00107288,0.00107288,0.00107288
38,1928.15,0.49133,0.32467,0.90751,0.95071,0.92108,0.9522,0.82531,0.99097,0.59125,1.17033,0.00105638,0.00105638,0.00105638
39,1979.41,0.51868,0.33695,0.92055,0.9522,0.91283,0.95273,0.81983,1.03285,0.61728,1.19983,0.00103987,0.00103987,0.00103987
40,2029.42,0.50513,0.32902,0.91488,0.94179,0.90519,0.94753,0.81281,1.03787,0.64722,1.19066,0.00102337,0.00102337,0.00102337
41,2080.11,0.50376,0.32763,0.91182,0.95327,0.90246,0.95008,0.82247,0.99726,0.63758,1.17324,0.00100687,0.00100687,0.00100687
42,2130.41,0.49951,0.32407,0.91253,0.94731,0.90981,0.94909,0.81768,1.02771,0.63633,1.20377,0.000990365,0.000990365,0.000990365
43,2180.73,0.49182,0.32054,0.90842,0.95086,0.91435,0.955,0.82791,0.9965,0.59382,1.17447,0.000973861,0.000973861,0.000973861
44,2233,0.49907,0.32349,0.91399,0.94731,0.91448,0.95212,0.82439,1.01784,0.61297,1.18198,0.000957358,0.000957358,0.000957358
45,2283.65,0.4882,0.31684,0.90745,0.94731,0.917,0.95132,0.82492,0.98255,0.59967,1.1661,0.000940855,0.000940855,0.000940855
